id	url	name	name	street_address	locality	region	postal_code	acres	counties	adopted_2017_standards_&_practices	number_of_board_members	number_of_full_time_staff	number_of_supporters	number_of_volunteers	year_first_joined	features
central-indiana-land-trust-inc-in	https://findalandtrust.org/land-trusts/explore/central-indiana-land-trust-inc-in	Central Indiana Land Trust, Inc.	Central Indiana Land Trust, Inc.	1500 N Delaware St	Indianapolis	IN	46202-2419	6,087	Hamilton, Hancock, Johnson, Marion, Morgan, Parke, Shelby	Yes	14	8	620	350	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
putnam-county-land-trust-ny	https://findalandtrust.org/land-trusts/explore/putnam-county-land-trust-ny	Putnam County Land Trust	Putnam County Land Trust	PO Box 36	Brewster	NY	10509-0036	1,243	Putnam	Yes	13		200	15	2002	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
center-for-natural-lands-management-ca	https://findalandtrust.org/land-trusts/explore/center-for-natural-lands-management-ca	Center for Natural Lands Management	Center for Natural Lands Management	27258 Via Industria, Ste B	Temecula	CA	92590-3751	100,484	Alameda, Butte, Contra Costa, Fresno, Humboldt, Kern, Los Angeles, Merced, Orange, Placer, Riverside, Sacramento, San Benito, San Diego, San Joaquin, Santa Cruz, Solano, Sutter, Tulare, Yolo	Yes	8	63		786	1991	Trails|Public Access|Volunteer Opportunities|Wildlife Habitat
hudson-highlands-land-trust-ny	https://findalandtrust.org/land-trusts/explore/hudson-highlands-land-trust-ny	Hudson Highlands Land Trust	Hudson Highlands Land Trust	PO Box 226	Garrison	NY	10524-0226	4,570	Dutchess, Orange, Putnam, Westchester	Yes	26	5	325	92	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
lower-shore-land-trust-md	https://findalandtrust.org/land-trusts/explore/lower-shore-land-trust-md	Lower Shore Land Trust	Lower Shore Land Trust	100 River St	Snow Hill	MD	21863-1025	22,812	Somerset, Wicomico, Worcester	Yes	10	4	450	25	1991	Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
valley-conservation-council-va	https://findalandtrust.org/land-trusts/explore/valley-conservation-council-va	Valley Conservation Council	Valley Conservation Council	PO Box 988	Staunton	VA	24402-0988	23,198	Alleghany, Augusta, Bath, Botetourt, Frederick, Highland, Page, Rockbridge, Rockingham, Shenandoah, Warren	Yes	12	2	354	2	1991	Volunteer Opportunities|Agricultural Land|Forests
jackson-hole-land-trust-wy	https://findalandtrust.org/land-trusts/explore/jackson-hole-land-trust-wy	Jackson Hole Land Trust	Jackson Hole Land Trust	PO Box 2897	Jackson	WY	83001-2897	262	Teton	Yes	20	16	674	75	1984	Trails|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
downeast-coastal-conservancy-me	https://findalandtrust.org/land-trusts/explore/downeast-coastal-conservancy-me	Downeast Coastal Conservancy	Downeast Coastal Conservancy	PO Box 760	Machias	ME	04654-0760	6,338	Washington, Washington	Yes		3			1993	Public Access
western-new-york-land-conservancy-ny	https://findalandtrust.org/land-trusts/explore/western-new-york-land-conservancy-ny	Western New York Land Conservancy	Western New York Land Conservancy	PO Box 471	East Aurora	NY	14052-0471	7,490	Allegany, Cattaraugus, Chautauqua, Erie, Genesee, Niagara, Orleans, Wyoming	Yes	15	15	1,300	75	1992	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
oblong-land-conservancy-inc-ny	https://findalandtrust.org/land-trusts/explore/oblong-land-conservancy-inc-ny	Oblong Land Conservancy, Inc.	Oblong Land Conservancy, Inc.	PO Box 601	Pawling	NY	12564-0601	1,257	Dutchess	Yes	10		75	3	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
escondido-creek-conservancy-ca	https://findalandtrust.org/land-trusts/explore/escondido-creek-conservancy-ca	Escondido Creek Conservancy	Escondido Creek Conservancy	PO Box 460791	Escondido	CA	92046-0791	3,215	San Diego	Yes	12	10	440	130	1991	Public Access|Volunteer Opportunities|Wildlife Habitat
columbia-land-conservancy-ny	https://findalandtrust.org/land-trusts/explore/columbia-land-conservancy-ny	Columbia Land Conservancy	Columbia Land Conservancy	49 Main St	Chatham	NY	12037-1225	33,793	Columbia	Yes	15	20	857	26	1987	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
